"cveID","dateAdded","dueDate","Remediation_Days","cvss_score","Severity"
"CVE-2026-8037",2026-08-07,2026-08-10,3,9.8,"Critical"
"CVE-2026-63077",2026-08-05,2026-08-08,3,9.8,"Critical"
"CVE-2026-18556",2026-08-04,2026-08-07,3,7.4,"High"
"CVE-2026-34486",2026-08-04,2026-08-07,3,7.5,"High"
"CVE-2026-9198",2026-08-04,2026-08-07,3,9.8,"Critical"
"CVE-2026-18577",2026-08-03,2026-08-06,3,8.1,"High"
"CVE-2026-20316",2026-07-29,2026-08-01,3,5.3,"Medium"
"CVE-2025-68686",2026-07-27,2026-08-10,14,5.9,"Medium"
"CVE-2026-16812",2026-07-27,2026-07-30,3,10,"Critical"
"CVE-2026-16232",2026-07-22,2026-07-25,3,9.8,"Critical"
"CVE-2026-50522",2026-07-22,2026-07-25,3,9.8,"Critical"
"CVE-2026-60137",2026-07-21,2026-08-04,14,5.9,"Medium"
"CVE-2026-63030",2026-07-21,2026-07-24,3,9.8,"Critical"
"CVE-2026-58644",2026-07-16,2026-07-19,3,9.8,"Critical"
"CVE-2026-25089",2026-07-16,2026-07-19,3,9.8,"Critical"
"CVE-2026-39808",2026-07-16,2026-07-19,3,9.8,"Critical"
"CVE-2026-46817",2026-07-15,2026-07-18,3,9.8,"Critical"
"CVE-2026-56155",2026-07-14,2026-07-28,14,7.8,"High"
"CVE-2026-56164",2026-07-14,2026-07-17,3,9.8,"Critical"
"CVE-2026-15409",2026-07-14,2026-07-17,3,10,"Critical"
"CVE-2026-15410",2026-07-14,2026-07-17,3,7.2,"High"
"CVE-2026-56291",2026-07-10,2026-07-13,3,9.8,"Critical"
"CVE-2026-48939",2026-07-10,2026-07-13,3,9.8,"Critical"
"CVE-2026-48908",2026-07-07,2026-07-10,3,9.8,"Critical"
"CVE-2026-55255",2026-07-07,2026-07-10,3,8.4,"High"
"CVE-2026-56290",2026-07-07,2026-07-10,3,9.8,"Critical"
"CVE-2026-48282",2026-07-07,2026-07-10,3,10,"Critical"
"CVE-2026-45659",2026-07-01,2026-07-04,3,8.8,"High"
"CVE-2026-48558",2026-06-29,2026-07-02,3,10,"Critical"
"CVE-2026-12569",2026-06-25,2026-06-28,3,9.8,"Critical"
"CVE-2026-20230",2026-06-25,2026-06-28,3,8.6,"High"
"CVE-2025-67038",2026-06-23,2026-06-26,3,9.8,"Critical"
"CVE-2026-34910",2026-06-23,2026-06-26,3,10,"Critical"
"CVE-2026-34909",2026-06-23,2026-06-26,3,10,"Critical"
"CVE-2026-34908",2026-06-23,2026-06-26,3,10,"Critical"
"CVE-2026-20253",2026-06-18,2026-06-21,3,9.8,"Critical"
"CVE-2026-48907",2026-06-16,2026-06-19,3,9.8,"Critical"
"CVE-2026-54420",2026-06-15,2026-06-18,3,8.5,"High"
"CVE-2026-20262",2026-06-15,2026-06-29,14,6.5,"Medium"
"CVE-2026-35273",2026-06-12,2026-06-15,3,9.8,"Critical"
"CVE-2026-10520",2026-06-11,2026-06-14,3,10,"Critical"
"CVE-2026-11645",2026-06-09,2026-06-23,14,8.8,"High"
"CVE-2026-7473",2026-06-09,2026-06-23,14,5.8,"Medium"
"CVE-2026-20245",2026-06-09,2026-06-23,14,7.8,"High"
"CVE-2026-42271",2026-06-08,2026-06-22,14,8.8,"High"
"CVE-2026-50751",2026-06-08,2026-06-11,3,9.3,"Critical"
"CVE-2026-28318",2026-06-05,2026-06-19,14,7.5,"High"
